state,up,down,left,right
"2,2,0,0",0.0,24.90686587951464,6.509634211047399,14.07030096262551
"0,2,2,2",16.40555432610972,26.543238926095746,17.20281409149505,15.718832005770512
"2,0,4,2",16.49496687240932,0.0,0.0,11.062695377050275
"2,2,4,2",3.1086945736798564,18.175547543385758,3.6184112074839474,-0.8893185227929574
"2,2,4,4",0.0,0.0,15.585819926135647,11.352039103945346
"4,2,8,0",0.0,8.834922380005239,0.0,0.013334507172410748
"4,2,2,8",0.0,0.0,0.0,0.0
"0,0,2,2",8.771514533083561,0.0,22.59238587301604,15.466113851658148
"2,2,2,0",6.001801066623748,3.918278850869984,5.124454494912927,15.05592081543072
"4,2,2,0",0.0,23.717438831119402,0.0,11.397373321972953
"4,2,2,2",24.629039501348725,1.7085983700000003,5.481274951733882,2.609031317739551
"4,4,2,2",0.0,0.0,3.1641553585484363,20.857956938350913
"2,8,0,4",0.0,13.680180255814554,-0.7649148282327007,0.0
"2,8,4,2",0.0,0.0,0.0,0.0
"2,0,0,2",10.014892798037124,16.896818869509865,9.30810933327059,25.86572665118739
"2,2,0,2",14.801220805768702,26.89277091499316,11.95580407971274,12.459269772779928
"0,4,2,2",4.3117990669524335,0.0,4.073197614576918,24.84414472393505
"2,4,2,2",11.235321510891609,-0.2206842524207503,2.6352700362282935,24.20029632646936
"2,4,2,4",22.224993631988696,12.220473225848224,0.0,0.0
"2,0,4,8",-0.5060566612129221,0.0,0.0,13.278845253978638
"2,2,4,8",0.0,0.0,14.539602328918868,-0.15606589954667138
"2,4,4,8",0.0,0.0,0.0,0.0
"4,0,4,2",-0.2304019236106294,8.71027057647845,0.0,-0.617570463519
"2,4,4,2",0.0,0.0,0.0,0.0
"4,0,0,2",3.3685778654201517,1.9157469790598975,4.690193253597323,20.965138125406327
"0,2,4,2",9.27439083915356,30.58887997952682,3.9832555284055866,0.0
"2,4,4,4",8.100121127744597,3.6754903918218504,1.897,0.7000000000000001
"2,4,2,8",12.234222035861281,-0.6757403008392838,0.0,0.0
"4,4,2,8",0.0,0.0,-0.6513215599,13.435315061779203
"2,8,2,8",14.094370378285378,14.21455096494561,0.0,0.0
"2,0,4,16",-0.7188318915961633,0.0,0.0,-1.2934455438176247
"2,2,4,16",0.0,0.0,-1.2619774299036444,-1.0033581913291578
"4,2,4,16",-0.9958254420820708,-1.032026862876816,0.0,0.0
"8,2,2,16",0.0,0.0,0.0,0.0
"2,0,2,0",13.12567788476523,7.737358416134076,0.0,25.814986463778833
"2,0,2,4",9.47367942340951,27.0767950148723,0.0,13.406446550484379
"4,4,0,2",0.0,-0.6175704635189999,0.1282185035539462,19.631796909115856
"4,2,0,0",0.0,21.452278440601557,0.0,0.0
"0,2,4,4",-0.06901556477072814,0.0,27.468852548211718,7.723929279662722
"2,2,8,0",0.0,20.864076055503833,1.82634586194205,0.6330876747698171
"4,2,8,2",10.00518085024434,3.150728094032192,0.0,0.0
"4,4,8,2",0.0,0.0,7.113598444205889,-0.8499053647030009
"2,8,8,2",0.0,0.0,0.0,0.0
"2,0,2,2",8.79116982094545,7.800820525710341,7.449079021432422,23.867614423119527
"4,2,4,2",4.97982508237076,9.57650354492322,0.0,0.0
"2,0,8,4",-0.512579511,0.0,0.0,16.654242430572783
"2,2,8,4",0.0,0.0,-0.1956945931478593,22.154592705279196
"2,4,8,4",6.916192393722069,24.30216416041111,0.0,0.0
"0,2,0,2",14.976954917134371,22.039922708616835,9.974609950645817,0.0
"4,4,2,0",0.0,1.5328358971227822,-0.3419498013581152,19.109321474117827
"4,2,2,4",0.0,0.0,0.0,0.0
"2,4,0,2",0.0,14.47464225372201,22.24130456180757,0.0
"4,2,4,8",-0.6125795109999999,15.484008860381099,0.0,0.0
"8,2,2,8",0.0,0.0,0.0,0.0
"0,4,2,0",4.474860940175983,4.960660077675206,4.237039316275728,21.21327230536511
"4,4,8,4",6.999987986923872,1.6150000000000002,-0.255601,-0.468559
"8,2,8,4",-0.15874129000000003,-0.1,0.0,0.0
"2,2,16,4",0.0,0.0,0.4916108190571097,5.999995992643879
"2,4,16,4",6.999999999999896,3.899437530000001,0.0,0.0
"2,8,16,2",0.0,0.0,0.0,0.0
"0,4,2,4",27.032531858109742,5.982647184106322,0.5952148192650342,0.0
"0,2,2,0",10.10944945614748,11.581782240239331,10.522150275840406,25.73679594960376
"4,0,2,2",8.959795928575197,0.0,4.663376107219284,24.055912602771247
"2,4,0,4",7.341815027033949,19.55909081322731,-0.1444938979792392,0.0
"4,0,2,8",11.567578995648212,0.0,0.0,-0.19
"0,2,4,0",8.127379276682072,4.083570019986994,19.42526539202856,6.155793848416067
"2,2,0,4",0.0,9.75926940395926,0.4691000148131358,22.58974320768722
"4,4,4,0",0.3104455188928515,-0.09,-0.09,10.927965787526283
"8,0,4,2",2.8905113724038616,0.0,0.0,0.5706170176279162
"2,0,0,4",5.613011661378888,10.275745175879111,19.30367093542237,5.46375112202674
"2,2,2,4",-0.3237152908760371,8.890599367797384,-0.9002895569301538,21.09026475272962
"4,4,2,4",22.167740145120735,1.8970000000000002,-0.19,6.544302781719691
"4,8,2,2",0.0,0.0,17.427512218685198,4.707596600566276
"4,8,2,4",0.0,0.0,0.0,0.0
"2,0,4,0",0.0,0.0,0.0,20.151816328272837
"0,2,2,4",20.05462172936202,0.0,14.635417507435786,0.0
"2,4,0,8",0.0,7.598190102634293,-0.512579511,0.0
"2,4,8,2",0.0,0.0,0.0,0.0
"0,0,2,4",18.667694655540526,0.0,0.0,0.0
"2,4,2,0",8.265000694479127,11.887069768136838,0.0,18.20236831670503
"0,4,0,2",0.0,0.0,22.366732147126065,0.0
"0,8,2,2",4.047438952028102,0.0,1.6229213548619312,21.265151342880017
"4,0,8,2",8.801431746684305,0.0,0.0,-0.7784233454094307
"0,4,0,4",13.593094650471437,0.0,0.2527205757027382,0.0
"0,8,0,2",0.0,0.0,1.529550882880199,0.0
"8,2,2,0",0.0,1.999555451418205,0.0,0.26068758148243665
"8,2,2,2",6.15515680607068,2.1523627030555432,1.4634297817659117,1.0317000000000005
"8,2,2,4",0.0,0.0,0.0,0.0
"0,0,4,2",20.068466920030637,0.0,0.0,0.0
"4,0,2,0",0.0,0.0,0.0,21.590418036161005
"4,2,0,2",21.85101567151849,16.914952717177332,9.771527745677144,0.0
"8,2,4,0",0.0,2.180516050063118,0.0,-0.171
"8,2,4,2",0.8130000000000002,10.442982202133091,0.0,0.0
"8,2,4,4",0.0,0.0,11.166292335500426,5.55876207533746
"0,2,0,4",0.0,0.0,18.393641719332617,0.0
"2,2,4,0",0.0,11.186132434139964,3.162470653726513,23.19949550265162
"4,4,8,0",0.0,-0.30951,-0.30951,6.547938765199101
"8,0,8,2",-0.09,-0.09,0.0,-0.09
"0,2,16,2",0.0,0.0,-0.09,0.0
"2,2,16,2",0.3,7.87376405208874,-0.0017279692241297996,0.0
"8,0,2,4",-0.09,0.0,0.0,4.452753175186798
"8,4,2,2",0.0,0.0,1.0317000000000003,9.121974135341079
"8,4,2,4",4.305257594449139,6.924573154349862,0.0,0.0
"0,4,4,2",15.22557686222299,0.0,0.0662599379750853,0.0
"4,4,4,2",4.212999395124815,0.0,1.0407122345506994,-0.3439
"0,2,2,8",3.050823741970385,0.0,10.469530144711237,0.0
"2,2,2,8",1.1072042803189046,3.1709848069012274,-0.47092096000000006,11.37378200668298
"4,2,8,4",0.0,0.0,0.0,0.0
"4,2,4,4",-0.19,-0.2,0.0,6.55290153962513
"8,2,0,2",0.0,1.8634793792307764,-0.0432599999999998,0.0
"0,2,8,4",0.2303524528152732,0.0,7.731241359223392,0.0
"4,2,0,4",0.0,12.541124629898354,0.0,0.0
"2,8,2,2",3.9660511061485595,-0.596004218759955,3.243891190276484,23.50497211971374
"4,2,4,0",-0.17329714563480575,14.056485196904644,0.0,-0.30951
"4,8,0,2",0.0,-0.8214493234690331,16.002321358275402,0.0
"2,0,2,8",14.169899537250545,0.3189479927116151,0.0,2.5963782970710536
"0,4,4,8",1.6821599473014177,0.0,10.104076809975208,0.0
"4,4,4,8",0.0,0.7869823398500002,-0.3439,12.350787549514434
"8,2,4,8",0.0,0.0,0.0,0.0
"4,0,0,4",2.2188191890927125,25.36545578363134,0.0,0.4655833109274573
"2,0,4,4",0.15535208040254933,0.0,29.49056992294371,7.339154401726999
"2,2,8,2",5.796865469469733,24.457409543876008,3.2168657024595615,-0.664559105671
"0,2,4,16",-1.0187315015116611,0.0,-1.3620170566188388,0.0
"4,2,2,16",0.0,0.0,0.0,0.0
"0,2,4,8",0.5617074004821211,0.0,11.178390281632698,0.0
"2,4,0,0",0.0,21.377705478651507,0.0,0.0
"8,4,2,0",0.0,-0.30951,0.0,4.005193746197
"4,8,8,4",0.0,0.0,0.0,0.0
"2,0,8,2",24.346302958001807,0.0,0.0,14.936753032515377
"8,2,8,2",2.605048947870441,8.10148774959148,0.0,0.0
"16,4,0,2",0.0,-0.2439,1.8851242411672215,0.0
"2,4,16,2",0.0,0.0,0.0,0.0
"2,8,2,4",-0.8257139851337661,20.37187519095299,0.0,0.0
"4,0,2,4",6.439882251465125,0.0,0.0,20.847770324013396
"2,8,8,4",0.0,0.0,0.0,0.0
"8,0,2,2",0.0096475000000001,0.0,1.06426232649204,7.5815785563773535
"8,4,2,8",0.0,0.0,0.0,0.0
"2,8,4,4",0.0,0.0,6.805310127389418,21.323701605885343
"4,8,4,2",12.840609586247586,-0.8784233454094308,0.0,0.0
"8,8,2,2",0.0,0.0,13.696696350554266,2.6653605945421672
"16,2,4,0",0.0,9.575737504711668,0.0,-0.5861894039100001
"16,2,4,2",1.7085983700000003,12.69793635510156,0.0,0.0
"16,2,4,4",0.0,0.0,10.071007331969723,5.398624528152732
"16,2,8,2",1.8915532075337465,3.1027538688857463,0.0,0.0
"16,2,8,4",0.0,0.0,0.0,0.0
"2,2,8,8",0.0,0.0,17.639051132951664,12.39562161993312
"4,0,16,2",2.7702889704684495,0.0,0.0,-0.6458134171671
"0,4,2,8",9.110616958387642,0.0,-0.4695327900000001,0.0
"0,4,8,4",0.0,1.949991021566916,0.0,0.0
"0,2,8,8",-0.09000000000000001,0.0,16.08549405852118,1.4637727154307687
"2,0,16,2",2.83552566206067,0.0,0.0,-0.087
"4,8,4,0",-0.4370931,12.282588343891236,0.0,-0.2439
"8,8,2,0",0.0,-0.171,-0.09,-0.171
"0,2,16,4",-0.368559,0.0,5.38458902293948,0.0
"2,2,16,8",0.0,0.0,-0.34390000000000004,-0.34390000000000004
"2,4,16,8",0.0,0.0,0.0,0.0
"0,8,2,4",19.6709263270024,0.0,0.04487462657979646,0.0
"4,4,0,4",2.721182039376932,17.027375257595033,-0.017257274826530722,-0.215186529
"2,4,0,16",0.0,-0.6264527416481,-0.617570463519,0.0
"8,4,0,2",0.0,-0.24390000000000006,5.428184702426752,0.0
"2,8,0,2",0.0,14.132327654900159,21.98967936678069,0.0
"4,0,8,4",0.1535954653613795,0.0,0.0,21.18080305749172
"8,4,8,2",5.292871136453464,-0.39421533764249206,0.0,0.0
