Pstate,up,down,left,right
"0,2,0,2",16.992304613298106,6.501738227304435,18.70428227575356,19.31684853879333
"2,0,2,2",21.35464201195946,10.308845734506015,18.942941182039533,4.504744057490345
"4,2,0,2",18.055329425892744,19.72053445667754,1.5165231586659011,1.8053101778867195
"4,2,8,0",5.797600253524662,9.460240550055609,-0.31595954744736005,-0.5615968122027001
"4,2,8,2",13.152368256410359,5.467057358925551,0.0,0.0
"4,4,8,2",0.0,0.0,14.035080386068497,6.203201554433664
"8,2,8,2",6.119369256342841,16.44464337758412,0.0,0.0
"0,4,16,4",0.438657324413722,0.2697400386166246,-0.24390000000000006,0.0
"0,2,16,8",-0.09000000000000001,-0.09000000000000001,-0.0020343396557192944,0.10578755705211838
"16,2,2,8",0.0,0.0,0.0,0.0
"0,0,4,2",16.284476156388024,10.737941891459666,0.0,0.0
"4,4,0,2",0.3613783594468897,-0.46953279000000014,17.66922100777062,16.700728083461335
"2,4,4,2",0.0,0.0,0.0,0.0
"2,2,2,4",16.869521925337345,15.74822328010324,10.322386221498913,3.800459852406574
"8,0,0,4",0.6732692468408672,0.0,0.0,-0.08000000000000002
"2,8,0,4",5.410086256242549,10.237509536805941,-0.42861314520000005,-0.5513215599000001
"2,8,4,2",0.0,0.0,0.0,0.0
"0,4,2,0",10.638208682365448,15.117340567938944,14.679518608252359,1.6463288000322889
"2,4,0,2",15.901086675040103,15.455851712518415,11.296007895605934,8.443140200763487
"2,4,2,4",12.9741368339196,16.347079605858234,0.0,0.0
"4,8,2,0",-0.46953279000000014,-0.3685590000000001,13.466946175499523,10.775014649311192
"0,2,2,0",6.512274581080442,18.445730752701134,4.026528560706931,19.27386497505097
"4,8,4,0",-0.24390000000000006,0.32036020000000004,-0.24390000000000006,-0.09000000000000001
"4,8,2,4",0.0,0.0,0.0,0.0
"2,2,0,4",0.9285738063008916,2.6651663596742337,20.6183265158008,17.222691513522978
"4,0,4,2",18.892490554730553,17.746496400186842,-0.29714969029593247,-0.5513215599000001
"2,0,2,8",2.001351078762442,3.1932020774320833,7.830414545253005,11.356019095019704
"4,8,0,2",-0.3034396275174025,-0.46953279000000014,10.170081071954986,13.254232120546757
"4,8,4,2",15.119694246226763,13.50925284164746,0.0,0.0
"2,16,0,4",2.347383210240144,1.3766762578786975,-0.4217031000000001,-0.15509578699999998
"2,16,4,2",0.0,0.0,0.0,0.0
"0,0,2,4",11.424907920251668,15.954996065881824,0.0,0.0
"0,2,2,8",0.988429183884245,12.055623826495417,14.682240912304257,14.079309646782255
"2,2,2,8",7.168173815150275,3.9314334066420082,16.86309512812437,14.547925011022045
"0,2,8,2",5.853381234427164,2.6487314009499885,13.536427827421129,0.15949320762483726
"2,8,8,2",0.0,0.0,0.0,0.0
"2,2,4,16",0.0,0.0,2.441410589168359,4.568557859319287
"2,4,4,16",0.0,0.0,0.0,0.0
"2,8,4,0",-0.12052443537,-0.00012217256966127188,0.6819466567084621,5.7043205078287595
"8,2,4,8",0.0,0.0,0.0,0.0
"2,2,8,4",0.0,0.0,13.778176337123885,14.806295499826032
"4,4,4,2",1.455983665223359,12.845528741604097,4.771944767761001,4.751140004614692
"4,2,0,4",0.0,1.111085794108511,11.620401870259132,7.525039612238537
"0,2,16,4",-0.3685590000000001,-0.09000000000000001,3.1748836685041466,0.0
"4,4,16,2",0.0,0.0,2.0093389000000004,5.998263901188771
"8,2,16,2",0.45300000000000007,0.0,0.0,0.0
"8,4,16,2",0.0,0.0,0.0,0.0
"4,8,2,8",14.597929060474861,3.968580587619266,0.0,0.0
"4,4,2,16",0.0,0.0,2.0152437822683487,0.4519903861662461
"2,8,2,16",-0.019899999999999987,3.2935906262240806,0.0,0.0
"8,8,2,16",0.0,0.0,0.0,-0.1
"2,16,2,16",3.1,0.0,0.0,0.0
"4,32,0,4",0.0,0.0,-0.09000000000000001,0.0
"4,32,4,2",0.0,-0.1,0.0,0.0
"2,32,8,2",0.0,0.0,0.0,0.0
"4,0,2,8",4.425291019958302,0.30464246313174254,3.929677029162842,0.05650000000000003
"4,16,2,2",0.0,0.0,1.3413921793436827,4.745244231601842
"16,4,0,2",-0.4217031000000001,-0.24390000000000006,2.3058131455540396,2.350395796502175
"8,2,16,4",0.0,0.0,0.0,0.0
"8,0,0,2",-0.06182339175713378,0.0,-0.005486783263173978,-0.08000000000000002
"2,0,8,8",-0.17100000000000004,0.0,-0.09000000000000001,1.429
"4,16,0,2",-0.09000000000000001,-0.24390000000000006,3.3466592932607693,0.0
"0,0,8,2",-0.0828943143498472,2.0169735496303653,0.0,0.0
"0,0,2,8",1.2416751675484847,0.0,0.0,0.0
"2,4,16,8",0.0,0.0,0.0,0.0
"8,4,8,2",9.210998239412532,4.611197544830068,0.0,0.0
"4,2,16,8",0.0,0.0,0.0,0.0
"8,2,16,0",0.0,0.0,0.0,-0.09000000000000001
"8,2,4,16",0.0,0.0,0.0,0.0
"2,8,0,8",5.251507426498551,0.0,0.0,0.0
"2,16,0,2",0.07701050835127732,-0.12652567699273382,0.0,0.07701050835127732
"2,16,2,2",1.670105083512773,-0.1,0.0,0.17000000000000007
"0,2,16,2",0.4803353382810913,0.0,0.0,0.0
"8,16,0,2",-0.17100000000000004,-0.09000000000000001,-0.0411,0.041500386166246045
"8,16,2,8",0.0,0.0,0.0,0.0
"2,2,16,0",0.0,-0.028576985757032825,0.0,0.0
"4,16,8,2",0.0,0.0,0.0,0.0
"2,16,8,8",0.0,0.0,2.85,0.0
"2,16,16,2",0.0,0.0,0.0,0.0
