index;state;up;down;left;right;direction
79;32,2,2,4;0.0;0.0;0.0;0.0;0
80;16,2,16,2;0.0;0.5700000000000001;0.0;0.0;1
81;2,0,32,4;-0.09000000000000001;0.0;0.0;-0.09000000000000001;1
82;32,2,4,2;3.171939829892378;0.5665020700000001;0.0;0.0;0
83;32,4,4,2;0.0;0.0;0.0;0.0;0
84;32,0,4,2;2.4286107247268442;0.0;0.0;-0.17100000000000004;0
85;16,16,4,2;0.0;0.0;1.320348816455922;-0.1;2
86;0,2,4,32;-0.09000000000000001;0.0;-0.09000000000000001;0.0;1
87;2,2,4,32;0.0;0.0;-0.1;0.0;0
88;2,8,4,32;0.0;0.0;0.0;0.0;0
89;4,0,2,16;0.729329654949243;0.0;0.0;0.0;0
90;16,0,2,4;0.04300000000000001;0.0;0.0;0.0;0
91;32,4,2,8;0.0;0.0;0.0;0.0;0
92;32,2,4,4;0.0;0.0;3.629526604000001;0.0;2
93;32,2,8,2;0.0;1.7085983700000003;0.0;0.0;1
94;32,2,8,8;0.0;0.0;0.0;1.5;3
95;32,2,4,16;0.0;0.0;0.0;0.0;0
96;0,32,2,4;-0.10270000000000001;0.0;-0.09000000000000001;0.0;1
97;32,2,2,8;0.0;0.0;0.0;0.0;0
98;8,32,2,8;0.0;0.0;0.0;0.0;0
99;4,32,8,2;0.0;0.0;0.0;0.0;0
100;32,2,8,4;0.0;0.0;0.0;0.0;0
101;32,0,8,2;-0.032999999999999995;0.0;0.0;-0.09000000000000001;1
102;32,2,8,0;0.0;0.025023000000000045;0.0;-0.09000000000000001;1
103;2,32,0,8;0.0;-0.1;0.0;0.0;0
104;4,32,2,8;0.0;0.0;0.0;0.0;0
