state,up,down,left,right
"2,0,0,0,0,0,0,0,2",-0.056999999999999995,-0.029999999999999995,-0.029999999999999995,0.27234432240000017
"2,0,2,0,4,0,0,0,0",0.0,-0.039999999999999994,0.0,0.0
"0,0,0,0,0,2,2,4,2",0.9485000000000001,0.35000000000000003,-0.05,0.0
"0,0,0,2,0,0,2,4,4",0.0,0.0,0.0,1.46
"0,0,0,0,2,2,0,2,8",0.0,0.0,0.0,-0.05
"0,0,2,0,0,4,0,2,8",-0.1355,0.0,-0.14150000000000001,0.0
"2,0,0,4,0,0,2,8,2",-0.11399999999999999,0.0,0.0,-0.06
"2,0,2,0,0,4,2,8,2",0.0,-0.06999999999999999,0.0,0.0
"0,0,2,2,0,4,4,8,2",0.0,0.0,0.0,-0.06999999999999999
"0,0,2,2,2,4,4,8,2",-0.08000000000000002,0.0,0.0,0.0
"2,2,2,4,8,4,0,2,2",0.0,0.0,0.31000000000000005,0.0
"4,2,2,4,8,4,4,0,0",0.0,-0.08000000000000002,0.0,0.0
"0,0,2,4,2,2,8,8,4",0.32000000000000006,0.0,0.0,0.0
"4,2,4,8,8,4,0,2,0",0.0,0.0,0.0,-0.08000000000000002
"4,2,4,2,16,4,0,0,2",0.0,0.0,-0.08000000000000002,0.0
"4,2,4,2,16,4,2,0,2",0.71,0.0,0.0,0.0
"4,2,8,4,16,2,0,0,2",0.0,0.0,-0.08000000000000002,0.0
"4,2,8,4,16,2,2,2,0",0.0,-0.09000000000000001,0.0,0.0
"2,2,0,8,16,8,2,2,2",0.0,0.0,0.31000000000000005,0.0
"4,0,0,8,16,8,4,2,2",-0.08000000000000002,0.0,0.0,0.0
"4,16,8,8,2,2,4,0,2",0.0,0.0,0.0,-0.09000000000000001
"4,16,8,0,8,4,2,4,2",-0.09000000000000001,0.0,0.0,0.0
"4,16,8,2,8,4,2,4,2",0.0,-0.1,0.0,0.0
"2,16,8,4,8,4,4,4,2",0.0,0.0,0.7000000000000001,0.0
"2,16,8,4,8,4,8,2,2",0.0,0.0,0.30000000000000004,0.0
"2,16,8,4,8,4,8,4,2",0.0,0.0,0.0,0.0
"0,4,0,0,0,0,0,0,2",-0.056999999999999995,-0.029999999999999995,0.0,0.0
"0,4,2,2,0,0,0,0,0",0.0,-0.004999999999999988,0.0,0.0
"2,0,0,2,0,0,2,4,2",-0.06,-0.06,0.0,-0.06
"0,0,0,2,0,2,4,4,2",0.0,0.0,0.0,1.4060000000000001
"0,0,0,2,0,4,0,8,2",-0.05,0.0,-0.05,0.0
"0,0,0,2,4,2,8,2,0",0.0,0.0,0.0,-0.06
"2,0,0,2,4,2,0,8,2",0.0,0.33,0.0,0.0
"0,0,2,0,4,0,4,8,4",0.0,0.0,-0.06,0.0
"2,2,0,4,0,0,4,8,4",0.0,0.0,0.0,-0.06999999999999999
"0,0,4,0,2,4,4,8,4",0.73,0.0,0.0,0.0
"4,2,8,0,8,4,2,0,0",-0.06999999999999999,0.0,0.0,0.0
"4,2,8,2,8,4,0,2,0",0.0,-0.08000000000000002,0.0,0.0
"0,2,2,4,8,8,2,2,4",0.0,0.0,0.31000000000000005,0.0
"4,0,0,4,16,0,4,4,2",0.0,0.0,0.73,0.0
"4,0,0,4,16,2,8,2,0",0.0,-0.06999999999999999,0.0,0.0
"0,0,2,8,16,0,8,2,2",0.0,0.0,0.0,0.33
"0,0,2,2,8,16,0,8,4",0.0,0.0,-0.06999999999999999,0.0
"2,2,0,2,8,16,8,4,0",0.0,-0.08000000000000002,0.0,0.0
"0,2,2,4,8,0,8,4,16",-0.08000000000000002,0.0,0.0,0.0
"4,2,2,8,8,16,0,4,2",0.0,-0.09000000000000001,0.0,0.0
"2,2,2,4,8,16,8,4,2",0.0,0.0,-0.1,0.0
"4,2,2,4,8,16,8,4,2",0.0,0.0,0.0,-0.1
"2,4,4,4,8,16,8,4,2",0.0,0.0,0.0,-0.1
"2,2,8,4,8,16,8,4,2",0.0,0.0,0.0,-0.1
"2,4,8,4,8,16,8,4,2",0.0,0.0,0.0,0.0
"0,0,0,0,0,2,0,0,2",0.7030000000000001,2.390016567160001,0.15771630480000007,0.0
"0,0,0,0,0,0,0,2,4",-0.16604193499999997,0.0,-0.171714837,0.0
"0,2,4,0,0,0,0,2,0",-0.039999999999999994,-0.039999999999999994,-0.07599999999999998,0.0
"2,4,0,2,0,0,2,0,0",0.0,-0.05,0.0,-0.05
"0,0,0,2,2,0,4,4,0",-0.05,0.0,0.75,0.0
"2,2,0,4,4,0,0,0,2",0.0,0.0,0.0,-0.06
"0,2,4,0,0,8,0,0,2",0.0,-0.05,0.0,0.0
"2,0,4,0,0,8,0,2,2",0.0,0.0,0.34,0.0
"2,4,0,8,0,2,4,0,0",-0.06,0.0,0.0,0.0
"2,4,2,8,2,0,4,0,0",0.0,0.0,0.0,-0.06999999999999999
"2,4,2,0,8,2,2,0,4",0.32000000000000006,0.0,0.0,0.0
"4,4,4,0,8,4,0,2,0",0.0,0.0,0.0,-0.06999999999999999
"0,4,8,0,8,4,0,2,2",0.0,0.0,0.0,0.33
"2,4,8,0,8,4,0,0,4",0.73,0.0,0.0,0.0
"2,4,8,2,8,8,0,0,0",0.0,0.0,-0.06999999999999999,0.0
"2,4,8,2,16,0,2,0,0",-0.06999999999999999,0.0,0.0,0.0
"4,4,8,2,16,0,2,0,0",0.0,0.0,0.0,-0.06999999999999999
"0,8,8,2,2,16,0,0,2",0.0,0.0,0.0,-0.06999999999999999
"0,2,16,0,4,16,0,0,2",0.0,3.14,0.0,0.0
"4,0,0,0,2,32,0,4,2",0.0,0.0,0.0,-0.06
"0,0,4,2,2,32,0,4,2",0.0,0.0,-0.06999999999999999,0.0
"4,0,0,4,32,0,4,2,2",0.0,0.0,0.33,0.0
"4,0,0,4,32,0,4,4,2",0.0,-0.06999999999999999,0.0,0.0
"0,2,0,4,32,0,8,4,2",0.0,0.0,-0.06999999999999999,0.0
"2,0,0,4,32,2,8,4,2",0.32000000000000006,0.0,0.0,0.0
"2,32,4,4,4,0,8,2,0",0.0,0.0,-0.08000000000000002,0.0
"2,32,4,8,0,0,8,2,2",-0.08000000000000002,0.0,0.0,0.0
"2,32,4,16,2,2,0,2,0",0.0,0.0,-0.08000000000000002,0.0
"2,32,4,16,4,0,2,2,0",0.0,0.0,0.32000000000000006,0.0
"2,32,4,16,4,0,4,2,0",0.0,-0.08000000000000002,0.0,0.0
"2,32,2,16,4,0,4,2,4",-0.09000000000000001,0.0,0.0,0.0
"2,32,2,16,4,4,4,2,2",0.0,0.0,0.0,0.30000000000000004
"2,32,2,2,16,8,0,4,4",0.0,0.0,0.71,0.0
"2,32,2,2,16,8,8,2,0",0.0,-0.09000000000000001,0.0,0.0
"0,32,2,4,16,2,8,2,8",0.0,0.0,-0.09000000000000001,0.0
"32,2,2,4,16,2,8,2,8",0.0,0.0,0.0,-0.1
"2,32,4,4,16,2,8,2,8",0.0,0.0,0.0,0.0
"0,0,0,2,2,0,0,0,0",-0.029999999999999995,0.11616864000000006,-0.0813,-0.0813
"0,0,0,0,0,4,2,0,0",-0.029999999999999995,-0.029999999999999995,-0.029999999999999995,0.0
"2,0,4,0,0,2,0,0,0",0.0,0.011500000000000017,-0.07599999999999998,-0.04499999999999999
"2,4,0,2,2,0,0,0,0",0.0,-0.05,0.0,-0.05
"0,2,0,0,4,0,4,2,0",-0.05,0.0,0.0,-0.05
"4,2,0,2,4,0,0,2,0",0.0,0.0,-0.06,-0.06
"4,2,0,2,4,0,2,2,0",0.0,0.0,0.33,0.0
"4,2,0,2,4,0,4,2,0",0.0,0.0,0.0,-0.06999999999999999
"0,4,2,2,2,4,0,4,2",0.0,0.0,0.0,-0.08000000000000002
"0,4,2,0,4,4,2,4,2",0.0,0.0,-0.08000000000000002,0.0
"4,2,0,8,2,0,2,4,2",-0.08000000000000002,0.0,0.0,0.0
"4,4,2,8,4,0,2,0,2",0.32000000000000006,0.0,0.0,0.0
"4,8,4,8,0,0,2,2,0",-0.06999999999999999,0.0,0.0,0.33
"4,8,4,8,2,0,2,0,2",0.0,-0.08000000000000002,0.0,0.0
"4,2,0,8,8,4,2,2,2",0.0,0.0,0.31000000000000005,0.0
"4,2,0,16,4,0,4,2,2",0.0,0.0,0.0,0.6800000000000002
"0,4,2,0,16,4,2,4,4",0.0,0.0,1.3680000000000003,0.0
"4,2,0,16,4,0,2,8,2",0.0,0.0,0.0,-0.08000000000000002
"2,4,2,0,16,4,2,8,2",0.0,-0.09000000000000001,0.0,0.0
"0,4,2,2,16,4,4,8,2",-0.09000000000000001,0.0,0.0,0.0
"2,4,2,4,16,4,2,8,2",0.0,0.0,0.0,0.0
"0,2,0,0,0,0,0,2,0",-0.10317,-0.05999999999999999,-0.029999999999999995,0.6551079267690079
"0,4,0,0,0,4,0,0,0",-0.029999999999999995,-0.029999999999999995,0.0,0.0
"2,0,0,0,0,0,0,4,4",0.0,-0.039999999999999994,0.0,0.76
"2,0,0,0,0,0,2,4,4",-0.05,0.0,0.75,2.0324999999999998
"4,4,4,0,0,0,2,0,0",0.0,0.0,0.0,-0.05
"0,4,8,0,2,0,0,0,2",-0.05,0.0,0.0,-0.05
"0,4,8,0,2,2,0,0,2",0.0,0.0,-0.06,-0.06
