index;parent_index;operations;direction
338;1385;rr;2
339;358;r;0
340;359;r;1
341;2130;r;1
342;1373;rrr;1
343;1801;r;1
344;2073;r;1
345;198;r;3
346;330;r;1
347;1386;rr;0
348;234;rrr;1
349;2981;rrr;3
350;921;rr;2
351;922;rr;2
352;2797;r;2
353;1167;rr;2
354;683;rrr;2
355;2983;r;2
356;596;rr;3
357;1813;rr;3
358;1856;r;3
359;1857;r;2
360;196;rr;1
361;2766;r;0
362;123;r;1
363;2447;rrr;0
364;1249;rr;1
365;683;rr;0
366;1762;rr;1
367;782;rrr;3
368;1391;rr;3
369;3719;r;1
370;1748;r;0
371;807;rrr;1
372;896;r;0
373;1229;r;1
374;183;rr;3
375;977;rr;1
376;2708;r;3
377;2983;rrr;1
378;1009;rrr;2
379;1682;r;1
380;3432;rrr;0
381;2131;rrr;3
382;2887;rr;1
383;590;rr;1
384;3887;rr;1
385;948;rr;0
386;621;r;3
387;623;r;0
388;1178;rrr;2
389;1179;rrr;0
390;1180;rrr;1
391;521;rrr;1
392;499;rrr;2
393;895;rr;2
394;3602;rrr;3
395;1458;r;0
396;3044;rd;1
397;3045;rd;2
398;3452;rrr;2
399;3453;rrr;2
400;299;r;2
401;1991;rr;0
402;2979;r;1
403;2288;rrr;0
404;979;rr;0
405;1516;rrd;3
406;811;rrr;2
407;2080;rrr;3
408;997;r;0
409;2350;rr;2
410;3182;r;0
411;141;r;1
412;952;r;0
413;1303;rr;1
414;142;r;3
415;1742;rrr;1
416;1743;rrr;1
417;2560;r;0
418;2739;r;1
419;1;rr;3
420;1546;r;3
421;3937;rr;1
422;1668;rrd;0
423;3161;rr;2
424;3626;rrr;3
425;2382;rr;2
426;2462;rrr;3
427;1456;r;2
428;3498;rr;1
429;3609;rr;1
430;654;r;1
431;806;rr;0
432;3161;rrr;0
433;1367;rr;3
434;987;r;3
435;3243;r;0
436;1132;r;1
437;844;rrr;1
438;952;rr;3
439;406;rrr;1
440;4019;rrr;2
441;4112;rr;1
442;2267;rr;0
443;2290;r;1
444;3340;r;2
445;32;r;0
446;3553;rrr;1
447;891;rr;3
448;3639;rrr;1
449;2520;rr;3
450;1370;rrr;2
451;2534;rr;1
452;445;r;0
453;2979;rrr;1
454;2793;rr;2
455;1639;rrr;1
456;1065;rrr;1
457;3919;rr;1
458;1111;rrr;1
459;1921;rr;3
460;2560;rr;3
461;4168;r;2
462;1862;rr;3
463;1750;rr;0
464;508;rrr;3
465;4246;rrr;3
466;4247;rrr;1
467;1299;rr;1
468;3920;rr;1
469;60;rrrd;0
470;4210;rr;0
471;4014;r;2
472;2889;rr;2
473;1859;r;0
474;611;r;0
475;1448;rrr;1
476;1767;rr;0
477;3550;r;2
478;3071;r;0
479;1516;rrr;1
480;27;r;2
481;2289;r;3
482;3185;r;0
483;3981;rr;0
484;2191;rrr;2
485;516;r;1
486;2062;rr;2
487;2063;rrr;3
488;60;rr;1
489;660;rrr;2
490;3408;rr;1
491;3409;rr;3
492;3926;r;3
493;3074;rr;3
494;4541;r;0
495;4542;r;0
496;3122;rrrd;3
497;4446;r;0
498;2421;rrr;0
499;185;rr;0
500;5;r;1
501;2579;rrr;0
502;3299;rrr;1
503;4581;rrr;1
504;4582;rrr;0
505;1250;rrr;0
506;501;r;0
507;3692;rrr;2
508;220;rr;1
509;975;rr;0
510;2336;rrr;1
511;3753;rrr;0
512;2949;r;0
513;4708;rrr;1
514;1688;rr;2
515;1689;rr;1
516;3139;rrr;3
517;1931;r;3
518;61;rrr;3
519;977;rrr;3
520;406;rr;1
521;112;rrrd;1
522;1567;rr;3
523;845;rrr;3
524;3593;r;0
525;3483;r;1
526;1087;rrr;1
527;3626;rr;2
528;551;rr;3
529;3726;rrr;0
530;79;rrr;2
531;3485;r;3
532;608;r;1
533;1740;r;2
534;24;rrrd;3
535;4821;r;1
536;1695;r;2
537;3265;rrr;2
538;3266;rrr;0
539;2288;rr;0
540;4416;r;2
541;293;rrr;0
542;294;rrr;0
543;2930;r;0
544;947;rrr;2
545;401;rrr;2
546;1035;rr;0
547;4503;rrr;1
548;2382;r;3
549;1070;r;1
550;2851;rrr;1
551;844;r;1
552;200;rr;2
553;2056;rrr;1
554;1103;rrr;3
555;1104;rrr;0
556;1224;rrr;1
557;551;rrr;1
558;753;rr;1
559;3669;r;1
560;2057;rr;2
561;3638;rrr;0
562;3417;rrr;0
563;4079;rr;1
564;4171;rrr;2
565;140;rrrd;3
566;298;rrr;3
567;925;r;0
568;2718;rr;0
569;807;rr;1
570;2336;r;1
571;2982;rr;1
572;753;rrr;0
573;3738;r;0
574;4611;r;0
575;81;r;3
576;1470;rr;3
577;1774;rr;2
578;3884;rr;2
579;2129;rr;0
580;570;r;3
581;2525;r;0
582;4392;rr;3
583;4080;rr;1
584;2261;r;0
585;402;r;1
586;2838;rr;3
587;3897;r;1
588;3333;r;2
589;3334;r;2
590;184;r;1
591;196;rd;1
592;3740;rr;2
593;1388;rr;1
594;3418;r;1
595;1170;r;0
596;2383;rr;1
597;957;rrr;2
598;0;d;2
599;60;rrd;0
600;3988;r;3
601;2634;r;0
602;325;rr;0
603;686;rrr;1
604;687;rrr;3
605;2181;rrr;0
606;3801;rrr;0
607;1366;rr;0
608;59;rd;3
609;5156;r;2
610;4977;rrr;3
611;4978;rrr;0
612;2074;rrr;0
613;2793;rrr;2
614;1641;r;3
615;3486;rr;0
616;3487;rr;2
617;3430;rrr;1
618;3663;rrr;0
619;2289;rrr;0
620;2290;rrr;3
621;1830;r;0
622;2421;r;3
623;2082;rr;1
624;1987;rr;3
625;3902;r;0
626;975;rrr;0
627;266;r;3
628;1860;rrr;2
629;5400;r;2
630;5288;rrr;0
631;1860;rrrd;0
632;4109;rrr;0
633;4399;rrr;0
634;655;r;0
635;714;r;0
636;4822;rrr;1
637;481;rrr;0
638;113;r;3
639;1517;rrr;0
640;5186;rr;1
641;2645;rr;1
642;3733;rr;0
643;3734;rr;2
644;4948;rrr;0
645;1249;r;1
646;949;r;3
647;2435;r;0
648;842;rr;1
649;1761;r;2
650;2351;rrr;1
651;1109;rrr;3
652;4795;r;0
653;4796;r;0
654;3193;rrr;0
655;2110;r;1
656;847;rr;1
657;4461;rrr;1
658;4240;r;0
659;1518;rrr;3
660;84;rr;2
661;302;rrr;2
662;809;rrr;3
663;3580;r;1
664;646;rrr;1
665;1573;r;0
666;1781;rrr;0
667;1566;rrr;3
668;477;r;0
669;590;r;1
670;4997;r;2
671;3242;r;0
672;5601;r;0
673;2519;rr;3
674;2837;r;1
675;615;rr;3
676;528;rrr;1
677;5602;rr;0
678;1804;rr;2
