index;parent_index;operations;direction
0;2;d;3
1;3;rr;3
2;5;rr;0
3;17;d;1
4;17;rrr;0
5;1;rrr;2
6;2;rrr;3
7;17;rr;2
8;21;rr;3
9;18;r;0
10;19;r;0
11;0;rrr;3
12;22;r;3
13;1;rr;2
14;2;rr;1
15;20;r;2
16;1;r;3
17;2;r;0
18;26;r;3
19;9;rr;1
20;10;rr;2
21;11;rr;0
22;13;rr;2
23;20;rr;3
24;3;rrr;0
25;9;r;2
26;5;rrr;2
27;10;r;0
28;11;r;2
29;17;r;3
30;22;rr;0
31;3;r;0
32;1;d;3
33;12;rr;3
34;39;r;1
35;27;rr;3
36;25;rrr;0
37;0;r;1
38;18;rrr;0
39;0;rr;0
40;20;rrr;0
41;25;r;0
42;40;r;3
43;7;r;0
44;4;rrr;3
45;24;rrr;0
46;28;rr;1
47;2;rd;1
48;12;r;1
49;43;r;0
50;7;rr;2
51;17;rd;3
52;28;r;3
53;1;rrrd;1
54;8;r;3
55;4;rr;1
56;40;rrr;3
57;29;r;0
58;21;rrr;1
59;40;rrrd;3
60;18;rrrd;0
61;6;rr;0
62;21;r;3
63;36;r;3
64;37;r;1
65;29;rrr;0
66;40;rr;1
67;22;rrr;3
68;28;rrr;2
69;2;rrd;1
70;33;rr;2
71;47;rr;0
72;48;rr;2
73;5;rrd;2
74;27;r;0
75;39;rrr;0
76;18;rr;3
77;36;rrr;1
78;37;rrr;3
79;38;r;0
80;41;rrr;2
81;45;rrr;3
82;21;rd;1
83;6;r;0
84;24;rr;3
85;46;rrr;3
86;37;rr;3
87;20;rd;2
88;41;r;1
89;23;rr;1
90;49;rr;0
91;53;rrr;3
92;42;rr;3
93;13;r;1
94;34;rrr;3
95;7;rrr;1
96;1;rd;3
97;45;r;2
98;17;rrrd;1
99;2;rrrd;3
100;50;r;0
101;33;rrr;2
102;47;rrr;0
103;48;rrr;2
104;35;rrr;0
105;36;rr;2
106;46;rr;1
107;9;rrr;3
108;5;r;3
109;10;rrr;0
110;40;d;1
111;30;rr;0
112;31;rr;0
113;39;rr;3
114;8;rr;3
115;3;rrd;2
116;20;rrd;1
117;23;rrd;0
118;57;rrr;2
119;58;rrr;0
120;26;rd;1
121;4;r;2
122;29;rr;0
123;31;rrr;0
124;45;rr;1
125;11;rrr;3
126;32;rr;1
127;39;d;2
128;6;rrr;0
129;30;rrr;0
130;14;r;3
131;15;r;0
132;16;r;0
133;25;rr;0
134;34;rr;1
135;10;d;0
136;50;rrr;1
137;33;r;3
138;47;r;0
139;27;rrr;0
140;46;rd;2
141;58;rr;0
142;58;r;0
143;43;rr;0
144;20;rrrd;0
145;5;rrrd;2
146;24;r;1
147;46;rrrd;0
148;15;rrr;0
149;16;rrr;0
150;36;rrd;1
151;5;d;1
152;65;r;3
153;66;r;0
154;54;rr;0
155;42;rrr;0
156;43;rrr;0
157;59;rrr;0
158;42;r;1
159;46;r;3
160;50;rr;2
161;40;rrd;0
162;34;r;0
163;55;rr;0
164;12;rrr;0
165;44;r;2
166;52;rr;2
167;8;rrr;2
168;55;r;0
169;44;rr;0
170;28;rrrd;0
171;36;d;1
172;32;rrr;2
173;41;rr;3
174;17;rrd;3
175;55;rrr;0
176;20;d;2
177;14;rr;1
178;23;rd;2
179;41;rd;0
180;67;rr;0
181;56;rr;1
182;53;rr;0
183;26;d;1
184;49;r;3
185;21;rrd;3
186;69;rrr;0
187;70;rrr;2
188;23;d;0
189;54;r;0
190;21;d;3
191;74;rr;0
192;64;rrr;2
193;51;rr;0
194;57;r;1
195;74;r;0
196;1;rrd;0
197;23;r;3
198;64;rr;1
199;75;r;0
200;69;rr;1
201;70;rr;1
202;31;r;0
203;22;rd;2
204;19;rd;0
205;52;r;1
206;3;rrrd;1
207;24;d;1
208;10;rd;2
209;60;r;0
210;23;rrr;3
211;76;rr;0
212;35;rr;0
213;10;rrd;3
214;77;rr;0
215;7;rd;0
216;79;r;0
217;68;rrr;3
218;46;d;0
219;4;d;1
220;76;rrr;0
221;75;rr;1
222;22;rrrd;2
223;30;r;1
224;78;r;0
225;74;rrr;3
226;71;rr;0
227;28;d;1
228;51;r;0
229;45;rrrd;2
230;77;rrr;0
231;15;rr;2
232;9;rrd;0
233;25;rrd;0
234;78;rrr;3
235;21;rrrd;0
236;0;rrd;3
237;18;d;2
238;80;rrr;2
239;81;rrr;1
240;13;rrr;1
241;67;r;0
242;28;rd;3
243;72;rr;0
244;79;rrr;0
245;4;rrrd;0
246;72;r;2
247;77;r;0
248;38;d;0
249;36;rrrd;1
250;65;rrr;0
251;80;rr;1
252;70;rrrd;0
253;78;rr;3
254;70;r;2
255;9;rd;2
256;25;d;0
257;90;rr;2
258;45;rrd;1
259;70;rd;3
260;89;rrr;1
261;18;rd;1
262;28;rrd;1
263;29;rrd;0
264;59;rr;1
265;32;r;3
266;33;d;1
267;51;rrr;0
268;76;r;0
269;71;d;2
270;83;r;0
271;22;d;0
272;19;d;0
273;61;r;1
274;87;r;2
275;13;rd;1
276;83;rrr;0
277;24;rrrd;1
278;25;rrrd;0
279;70;d;2
280;78;rrd;3
281;38;rd;0
282;59;r;2
283;80;r;2
284;86;rrr;1
285;87;rrr;0
286;61;rr;0
287;62;rr;0
288;63;rr;0
289;68;rr;0
290;11;rd;3
291;79;rr;0
292;41;d;0
293;89;r;0
294;23;rrrd;2
295;16;rr;0
296;97;rrr;0
297;14;rrr;2
